Recieved	Income Paid	Confirmed	Checked	Refunded	Net_rate
46986.00	46740.00	38516.30	46986.00	46986.00	46986.00	18.03
9302.00	10391.00	7625.22	9302.00	9302.00	9302.00	18.03
106875.00	85770.00	87609.71	106875.00	106875.00	106875.00	18.03
35949.00	26122.00	29468.83	35949.00	35949.00	35949.00	18.03
252614.00	144630.00	212195.76	202614.00	252614.00	225322.00	15
41000.00	30000.00	34843.30	40992.12	40992.12	40992.12	18.03
77000.00	60000.00	65450.00	77000.00	77000.00	77000.00	18.03
34099.00	33209.92	28984.08	34098.92	34098.92	34098.92	15
35406.00	35000.00	29750.00	35000.00	35000.00	35000.00	15
0	16341.24	13395.57	16341.24	16341.24	0	18.03
0	43000.00	35237.00	43000.00	43000.00	25800.00	18.03
16152.00	25312.00	14524.48	16152.00	16152.00	965	18.03
20764.00	23043.00	17649.40	20764.00	20764.00	6938.00	15
44587.00	41085.00	37898.95	44587.00	44587.00	19936.00	15
101549.00	106809.00	85301.16	101549.00	101549.00	101549.00	18.03
29235.00	26145.00	24849.75	29235.00	29235.00	13548.00	15
144375.00	115095.00	122718.75	144375.00	144375.00	144375.00	15
37208.00	36992.00	31626.80	37208.00	37208.00	37208.00	15
89684.00	90205.00	76231.40	143807.00	137973.00	89684.00	15
31637.00	30553.00	26891.45	31637.00	31637.00	31637.00	15
42490.00	28191.00	36116.50	42490.00	42490.00	42490.00	15
174628.00	171149.00	140297.68	174628.00	174628.00	174628.00	18.03
33969.00	53297.00	30000.00	33969.00	33969.00	1991.00	18.03
33350.00	42799.00	28347.50	54411.00	54411.00	33350.00	15
29228.00	37592.00	23959.36	22555.00	29228.00	14257.00	18.03
12837.00	16063.00	12368.32	9638.00	12837.00	12837.00	18.03
21714.00	15927.00	17799.83	9556.00	21715.00	15927.00	18.03
29493.00	30756.00	25068.12	47947.00	47946.00	29493.00	15
35534.00	35102.00	29848.72	40152.00	40152.00	14473.00	15
35951.00	32187.00	30558.35	35951.00	35951.00	35951.00	15
38449.00	41678.00	32681.65	38449.00	38449.00	13442.00	15
9187.00	9134.00	7530.95	5480.00	9186.00	3654.00	18.03
54630.00	61386.00	46435.50	54630.00	54630.00	54630.00	15
26796.00	24585.00	21965.75	14751.00	26797.00	26283.00	18.03
26220.00	31771.00	21493.58	26220.00	26220.00	15093.00	18.03
31910.00	40396.00	26157.90	24238.00	31910.00	31910.00	18.03
18428.00	26825.00	15663.80	18428.00	18428.00	18428.00	15
17459.00	14399.00	14840.15	17459.00	17459.00	8820.00	15
21945.00	17943.00	18653.25	21945.00	21945.00	21945.00	15
17133.00	24129.00	14563.05	17133.00	17133.00	2656.00	15
16740.00	18057.00	14061.60	16740.00	16740.00	5906.00	15
28312.00	23429.00	24065.20	28312.00	28312.00	28312.00	15
26568.00	30532.00	21778.03	26567.00	26567.00	26567.00	18.03
24532.00	31429.00	20109.86	18857.00	24532.00	24532.00	18.03
24725.00	15402.00	20769.00	24725.00	24725.00	15484.00	15
38970.00	25197.00	33124.50	38970.00	38970.00	38970.00	15
27836.00	25255.00	23660.60	27836.00	27836.00	27836.00	15
28547.00	28073.00	24264.95	28547.00	28547.00	28547.00	15
53851.00	26163.00	45773.35	53851.00	53851.00	53851.00	15
37097.00	28680.00	31532.45	37097.00	37097.00	37097.00	15
34316.00	29514.00	29168.60	34316.00	34316.00	34316.00	15
28379.00	30365.00	17531.91	28379.00	28379.00	28379.00	18.03
14034.00	14484.00	11788.56	14034.00	14034.00	14034.00	18.03
14780.00	16043.00	12115.76	14780.00	14780.00	14780.00	18.03
98661.00	153626.00	83861.85	98661.00	98661.00	98661.00	15
51121.00	37494.00	43452.85	51121.00	51121.00	51121.00	15
38505.00	30569.00	39081.72	38505.00	30569.00	30569.00	18.03
26215.00	32737.00	22282.75	26215.00	26215.00	26215.00	15
25318.00	29420.00	21520.30	25318.00	25318.00	25318.00	15
15074.00	14783.00	12812.90	15074.00	15074.00	15074.00	15
18560.00	16672.00	15776.00	18560.00	18560.00	18560.00	15
970900.00	970900.00	687333.20	970900.00	970900.00	970900.00	23.61
226100.00	226100.00	178799.88	226100.00	226100.00	226100.00	20.92
170000.00	170000.00	129846.82	170000.00	170000.00	170000.00	23.62
0	490000.00	349879.36	490000.00	395833.51	441441.23	20.92
0	31000.00	25411.94	31000.00	31000.00	31000.00	18.03
314112.00	133409.00	242155.40	287685.00	0	0	18.03
167855.00	168188.00	142676.75	167855.00	168188.00	168188.00	15
34977.00	35000.00	29379.61	35000.00	35000.00	34977.00	15
95769.00	57000.00	78505.68	95769.00	57000.00	57000.00	18.03
219051.00	219000.00	179523.06	219000.00	219000.00	219000.00	18.03
149482.00	151575.00	122536.00	149482.00	151575.00	143784.30	18.03
0	45100.00	36970.27	45100.00	45100.00	0	18.03
289368.46	322817.28	219011.89	322817.00	322817.00	313128.00	25.74
60038.00	60038.00	50892.77	60037.80	60037.80	54034.00	18.03
24869.00	24868.95	20385.60	24868.37	24868.37	22382.00	18.03
110000.00	120201.00	90123.72	109941.84	72120.60	66000.00	18.03
121506.00	197719.00	120745.08	121506.00	108631.00	0	18.03
40968.00	43014.00	33583.11	25808.00	40968.00	15160.00	18.03
37162.00	36607.00	31216.08	37162.00	37162.00	37162.00	15
57682.00	42978.00	49029.70	57682.00	57682.00	57682.00	15
18038.00	22538.00	15332.30	18038.00	18038.00	18038.00	15
26829.00	29407.00	21992.80	17644.00	26829.00	24068.00	18.03
23633.00	25556.00	20088.05	23633.00	23633.00	23633.00	15
32571.00	21532.00	27685.35	32571.00	32571.00	32571.00	15
18522.00	29315.00	15743.70	18522.00	18522.00	18522.00	15
42073.00	38384.00	35762.05	42073.00	42073.00	42073.00	15
24038.00	26503.00	19704.91	24038.00	24038.00	24038.00	18.03
27347.00	32938.00	22417.43	19763.00	20993.00	19763.00	18.03
32499.00	36218.00	26640.73	32499.00	32499.00	32499.00	18.03
36947.00	33517.00	31404.95	36947.00	36947.00	36947.00	15
24925.00	31487.00	21186.25	24925.00	24925.00	24925.00	15
95901.00	72178.00	81515.85	95901.00	95901.00	95901.00	15
27960.00	30613.00	23766.00	27960.00	27960.00	27960.00	15
42046.00	44379.00	35739.10	42046.00	42046.00	42046.00	15
17316.00	21562.00	14194.62	12937.00	17316.00	17316.00	18.03
37393.00	30041.00	30652.54	37393.00	37393.00	37393.00	18.03
40812.00	37938.00	34282.08	40812.00	40812.00	40812.00	15
23045.00	14967.00	18890.91	23045.00	23045.00	23045.00	18.03
24735.00	22723.00	21024.75	24735.00	24735.00	24735.00	15
58326.00	57546.00	49577.10	58326.00	58326.00	58326.00	15
6267.00	21035.00	12070.23	12621.00	12621.00	12621.00	18.03
27944.00	9724.00	23472.96	0	27944.00	27944.00	15
22060.00	22041.00	14853.52	22060.00	22060.00	8835.00	15
395613.00	384090.00	314649.71	395613.00	395613.00	230454.00	16
82000.00	82000.00	69700.00	82000.00	82000.00	82000.00	15
68000.00	55000.00	57800.00	68000.00	68000.00	68000.00	15
39000.00	35500.00	33150.00	39000.00	39000.00	39000.00	15
118000.00	80000.00	100300.00	118000.00	118000.00	118000.00	15
90000.00	85000.00	76500.00	90000.00	90000.00	90000.00	15
307500.00	307500.00	216480.00	307500.00	307500.00	307500.00	29.6
165143.00	165126.00	135360.38	165126.00	165126.00	165126.00	18.03
91219.00	94672.00	74776.00	91219.00	94672.00	82097.10	18.03
98456.00	99838.00	83687.60	98456.00	99838.00	88610.40	15
0	1750305.85	1144415.20	1978110.00	1978110.00	1800559.00	33.54
0	1603563.31	1081885.93	1443206.97	971281.78	971281.78	22.26
0	28311.87	12684.00	25480.67	19818.30	19818.30	22.88
44279.00	54112.00	37194.36	42968.20	55413.00	55413.00	15
131857.00	209581.00	108087.30	151798.60	200159.40	121436.40	18.03
0	7755.00	3814.25	4653.00	4653.00	0	18.03
22700.00	25130.00	18608.10	15078.00	22700.00	22700.00	18.03
7166.00	8190.00	5874.26	4914.00	7166.00	7166.00	18.03
13843.00	27283.00	13914.33	16369.80	16370.00	16370.00	15
23522.00	25533.00	19758.48	23521.80	23522.00	23522.00	15
33452.00	36003.00	28099.68	33451.80	33452.00	33452.00	15
53319.00	59100.00	53502.83	53319.00	53319.00	0	18.03
12735.00	14915.00	10824.75	12735.00	12735.00	12735.00	15
15870.00	10337.00	13489.50	15870.20	15870.00	15870.00	15
42200.00	40573.00	35870.00	42199.80	42200.00	42200.00	15
34454.00	31458.00	28941.36	31925.80	31927.00	31926.00	15
176625.00	116951.00	150131.25	176624.60	176625.00	176625.00	15
0	138870.50	89030.41	124983.46	97209.37	97209.37	22.64
0	316463.56	146796.75	284817.20	111220.31	111220.31	20.92
59319.00	52900.00	31316.53	59319.00	59319.00	59319.00	18.03
98095.00	72491.00	80412.40	79993.00	79993.00	72491.00	18.03
23070.00	48259.00	32805.28	38607.00	38607.00	23070.00	18.03
67200.00	47122.00	55086.53	67200.00	67200.00	67200.00	18.03
85855.00	88538.00	70378.78	85855.00	85855.00	85855.00	18.03
38285.00	38285.00	31383.75	38285.00	38285.00	33457.00	18.03
28000.00	28000.00	22952.72	28000.00	22400.00	22400.00	18.03
114375.83	117913.24	76010.94	114375.83	117913.24	110000.00	22.85
165388.61	176816.39	121842.68	176816.39	176816.39	176816.39	25.82
61668.00	60000.00	50400.00	60000.00	64708.56	60000.00	18.03
65429.00	64992.00	53276.54	65429.00	38995.00	0	18.03
17590.00	22379.00	14419.23	13427.00	34907.00	9759.00	18.03
81566.00	56518.00	68515.44	81566.00	81566.00	81566.00	18.03
63841.00	91056.00	54264.85	63841.00	63841.00	63841.00	15
109778.00	115339.00	89989.42	109777.00	109777.00	109777.00	18.03
157606.00	189339.00	132389.04	157606.00	157606.00	157606.00	18.03
168668.00	174940.00	143367.80	168668.00	168668.00	168668.00	15
201799.00	183651.00	169511.16	201799.00	201799.00	201799.00	18.03
11844.00	8000.00	9709.00	4800.00	11844.00	11844.00	18.03
288678.05	296375.72	225625.97	296375.00	296375.00	281100.00	22.85
0	844654.64	653594.92	802421.91	410764.34	410764.34	20.14
0	419440.94	317090.50	293608.66	276562.54	276562.54	22.8
113275.09	121935.74	82122.77	116739.48	116739.48	111391.58	29.71
221500.00	221500.00	164485.90	221500.00	221500.00	221500.00	25.74
179000.00	179000.00	132860.43	179000.00	179000.00	179000.00	25.78
207797.00	215653.00	176570.06	207796.60	207795.80	207795.80	15
358161.40	275418.00	300855.41	381310.80	358161.20	358161.20	18.03
174467.60	206536.00	146964.22	174957.40	174957.40	174957.40	18.03
131701.00	179977.00	110628.50	131700.60	131700.60	131700.60	18.03
28696.00	38367.00	23523.26	25488.40	28696.00	28696.00	18.03
0	73681.90	23210.19	66313.71	0	0	23.02
0	87926.63	47535.45	61548.64	61548.64	61548.64	22.77
0	88362.23	46637.50	79526.01	61853.56	61853.56	22.81
0	61180.91	38538.05	55062.82	42826.63	42826.63	22.87
0	61707.88	38803.87	55537.09	43195.52	43195.52	23.02
0	222723.52	160442.30	200451.17	155906.47	155906.47	22.78
0	111332.66	77132.04	100199.39	94632.76	94632.76	23.02
0	3090028.86	1923191.11	2781025.97	927008.66	927008.66	22.9
310600.00	310600.00	218662.40	310600.00	310600.00	310600.00	29.6
209700.00	209700.00	155723.22	209700.00	209700.00	209700.00	25.74
0	380913.27	299775.78	415822.43	323776.28	323776.28	20.26
100000.00	100000.00	86796.00	100000.00	100000.00	100000.00	25.74
59896.00	76000.00	50911.60	59896.00	59896.00	59896.00	15
88000.00	88000.00	65591.41	80014.90	80014.90	80014.90	18.03
55000.00	55000.00	46200.00	33000.00	46470.00	46470.00	18.03
8513.00	8000.00	6557.92	3713.00	8513.00	8513.00	18.03
24995.00	13140.00	20489.40	24995.00	24995.00	24995.00	18.03
0	335490.21	254220.94	301941.18	234843.14	234843.14	22.77
82000.00	82000.00	69700.00	82000.00	82000.00	82000.00	15
53000.00	53000.00	45050.00	53000.00	53000.00	53000.00	15
38000.00	38000.00	32300.00	38000.00	38000.00	38000.00	15
113000.00	110000.00	94920.00	110000.00	113000.00	113000.00	15
62000.00	62000.00	52700.00	62000.00	62000.00	62000.00	18.03
77000.00	77000.00	65450.00	77000.00	77000.00	77000.00	18.03
61000.00	61000.00	51850.00	61000.00	61000.00	61000.00	18.03
45000.00	45000.00	38250.00	45000.00	45000.00	45000.00	18.03
267000.00	267000.00	226468.75	53400.00	267000.00	267000.00	15
57100.00	60452.00	46807.15	57100.00	36272.00	0	18.03
6819.00	7844.00	5589.81	6819.00	6819.00	6819.00	18.03
315692.00	472374.00	360771.64	530259.00	437138.00	304068.00	18.03
91913.00	95796.00	75344.76	91913.00	91913.00	91913.00	18.03
0	242429.78	167659.89	230308.29	169700.84	169700.84	22.4
0	163181.72	104411.81	146863.55	114227.22	114227.22	22.4
0	62315.94	28087.70	56084.35	18694.78	18694.78	23.56
0	62317.90	20277.02	24927.16	18695.37	18695.37	20.92
0	635728.50	397672.36	635728.50	300000.00	300000.00	20
42474.00	36102.00	34815.94	42474.00	42474.00	42474.00	18.03
148987.00	156220.00	125149.08	134956.56	148987.00	148987.00	18.03
104847.00	66912.00	85947.28	88465.00	88465.00	66912.00	18.03
37365.00	36707.00	30088.73	36707.00	36707.00	36707.00	18.03
0	176400.00	102962.60	167580.00	63240.00	63240.00	20
0	398772.11	301266.99	378833.50	338956.29	119631.63	20.21
68805.00	68809.00	56405.49	68809.00	68809.00	68809.00	18.03
73040.00	73044.00	59877.09	73044.00	73044.00	73044.00	18.03
86457.00	35212.00	13833.12	86457.00	0	0	18.03
213874.00	102883.00	84333.20	213874.00	0	0	18.03
0	305516.90	244413.00	329821.51	329821.51	329821.51	20
415497.24	425706.60	308442.45	425706.00	0	0	25.77
448704.77	460882.00	332901.98	460882.00	0	0	25.81
114439.00	114447.00	97279.95	114447.00	114447.00	114447.00	15
27785.00	28355.00	24101.75	28355.00	28355.00	0	15
20295.00	20298.00	16639.08	20298.00	20298.00	0	18.03
24567.00	24551.00	20868.35	24551.00	24551.00	0	15
17233.00	17440.00	14824.00	17440.00	17440.00	0	15
66899.00	75696.00	61966.30	75696.00	0	0	18.03
78906.00	86240.00	66450.00	78906.00	78906.00	78906.00	18.03
16265.00	18514.00	13333.07	16265.00	16265.00	9213.00	18.03
63000.00	63000.00	53550.00	63000.00	63000.00	63000.00	15
116000.00	116000.00	98600.00	116000.00	116000.00	116000.00	18.03
50000.00	50000.00	42500.00	50000.00	50000.00	50000.00	18.03
65143.00	65143.00	53400.32	65143.00	65143.00	65143.00	18.03
15068.00	15068.00	12351.84	15068.00	15068.00	13561.00	18.03
11590.00	11590.00	9500.79	11590.00	11590.00	10431.00	18.03
80818.00	89986.00	66249.74	80818.00	80818.00	4063.00	18.03
93202.00	98461.00	76402.23	93443.98	93444.00	89045.98	18.03
59356.00	67708.00	53536.17	58936.09	0	0	16
193698.00	193698.00	158782.00	193698.00	193698.00	193698.00	18.03
96613.00	119598.00	90550.54	113530.00	113530.00	113530.00	18.03
79657.00	78321.00	65812.06	79657.00	73821.00	73821.00	18.03
81036.00	58099.00	74054.45	81036.00	81036.00	81036.00	18.03
52545.00	38481.00	43073.24	52545.00	58381.00	96316.00	18.03
94790.00	94790.00	77678.00	94790.00	94790.00	94790.00	18.03
213484.00	167590.00	134997.99	80026.00	62153.00	36440.00	18.03
831840.00	842753.00	672233.97	842753.00	0	0	18.03
114616.00	114616.00	93782.07	114616.00	114616.00	114616.00	18.03
118494.00	118493.00	96555.53	118493.00	118494.00	118494.00	18.03
150376.00	150376.00	124179.04	150376.00	150377.00	150377.00	18.03
24785.00	24784.00	20118.03	24784.00	24785.00	24785.00	18.03
87336.00	87336.00	71592.81	87336.00	87336.00	87336.00	18.03
94014.00	133721.00	77067.03	94014.00	94014.00	94014.00	18.03
122456.00	122455.00	100381.26	122455.00	122455.00	122455.00	18.03
68041.00	68293.00	57366.12	68293.00	68293.00	58936.00	15
117905.49	121290.08	67317.83	121290.00	121290.00	97032.00	25.74
296236.80	296236.80	17774.21	296236.80	0	0	23.54
0	2308000.00	1721041.76	2073600.00	2073600.00	2073600.00	20.92
0	241315.12	154685.01	217170.00	221030.18	96526.05	20.92
0	838872.14	313513.76	754919.64	251661.64	251661.64	22.8
0	78094.62	42202.34	70284.24	54666.24	54666.24	22.8
58244.94	58276.69	49422.37	58244.94	58244.94	58244.94	15.15
826738.50	827458.50	744064.65	826738.50	826738.50	826738.50	10
1495117.84	1500000.00	1185375.02	1302863.66	1495117.84	1495117.84	20.72
0	850000.00	677421.46	765000.00	510000.00	510000.00	13.33
181987.96	182584.17	129963.02	181987.96	181987.96	181987.96	28.59
126379.94	129114.51	90407.90	126379.94	126379.94	126379.94	28.46
117157.73	117157.73	81544.28	117157.73	117157.73	117157.73	30.4
129460.52	130653.79	89437.13	129460.52	129460.52	129460.52	30.92
34745.04	33355.41	26450.54	34745.04	34745.04	34745.04	23.87
45274.00	39789.44	30731.33	45274.92	45274.92	45274.92	32.12
125936.09	124645.17	95451.59	125936.09	125936.09	125936.09	24.21
26840.08	26509.22	18089.09	26840.08	26840.08	26840.08	32.6
50207.64	50207.64	34230.90	50207.64	50207.64	50207.64	31.82
117225.34	118775.34	80234.07	117225.34	117225.34	117225.34	31.56
17483.69	17483.69	12191.62	17483.69	17483.69	17483.69	30.27
116318.17	142498.82	80499.27	116318.17	116318.17	116318.17	30.79
120035.41	145665.56	82866.54	120035.41	120035.41	120035.41	30.96
42528.74	42528.74	29117.20	42528.74	42528.74	42528.74	31.54
41277.81	46238.90	28232.40	41277.81	41277.81	41277.81	31.6
190527.36	197660.92	144203.77	190527.36	190527.36	190527.36	24.31
195430.25	202492.89	144982.20	195430.25	195430.25	195430.25	25.81
207344.21	216515.83	154947.84	207344.21	207344.21	207344.21	25.27
143729.60	148433.91	103628.34	143729.60	143729.60	143729.60	27.9
395145.57	410896.44	303661.86	395145.57	395145.57	395145.57	23.15
101776.07	105156.27	86315.89	101776.07	101776.07	101776.07	15.19
85347.93	85411.43	70894.94	85347.93	85347.93	85347.93	16.93
117959.88	162499.92	102384.46	117959.88	117959.88	117959.88	13.2
44336.22	46500.00	31747.92	44336.22	44336.22	44336.22	28.39
425473.67	444004.55	326782.98	425473.67	425473.67	425473.67	23.2
499505.35	525316.98	391320.19	499505.35	499505.35	499505.35	21.66
131539.08	126285.04	99159.22	131539.08	131539.08	131539.08	24.62
229154.32	229956.94	163888.79	229154.32	229154.32	229154.32	28.48
185382.76	186121.01	132843.17	185382.76	185382.76	185382.76	28.34
152156.00	152156.20	110902.74	152156.00	152156.00	152156.00	27.11
240356.73	240356.73	191654.75	240356.73	240356.73	240356.73	20.26
89758.37	89758.37	66958.81	89758.37	89758.37	89758.37	25.4
134744.02	134744.02	106612.69	134744.02	134744.02	134744.02	20.88
193955.67	193955.66	155164.54	193955.67	193955.67	193955.67	20
250975.25	264763.57	188076.71	250975.25	250975.25	250975.25	25.06
34755.87	35185.78	23879.38	34755.87	34755.87	34755.87	31.29
171021.28	173505.32	127547.10	171021.28	171021.28	171021.28	25.42
55104.74	55104.74	36733.18	55104.74	55104.74	55104.74	33.34
12470.14	12879.45	9062.27	12470.14	12470.14	12470.14	27.33
0	13282.39	1286.58	12865.83	12865.83	12865.83	26.94
59283.90	61193.89	41960.48	59283.90	59283.90	59283.90	29.22
119346.98	122495.44	87432.81	119346.98	119346.98	119346.98	26.74
44719.07	47346.27	32059.01	44719.07	44719.07	44719.07	28.31
72540.00	72540.75	51869.95	72540.00	72540.00	72540.00	28.49
101767.00	205022.50	72007.73	101767.00	101767.00	101767.00	29.24
28172.33	28172.33	19907.64	28172.33	28172.33	28172.33	29.34
100409.16	77309.15	72617.12	100409.16	100409.16	100409.16	27.68
140174.58	149070.76	95625.17	140174.58	140174.58	140174.58	31.78
79554.58	82076.29	56519.56	79554.58	79554.58	79554.58	28.95
139481.00	154022.30	100892.53	139481.00	139481.00	139481.00	27.67
142864.21	141207.74	100003.05	142864.21	142864.21	142864.21	30
132101.53	131808.30	91690.69	132101.53	132101.53	132101.53	30.59
332337.95	299294.65	252513.00	332337.95	332337.95	332337.95	24.02
149451.12	156191.27	112891.39	149451.12	149451.12	149451.12	24.46
75274.75	79406.27	58340.12	75274.75	75274.75	75274.75	22.5
56000.00	56634.20	42440.44	56000.00	56000.00	56000.00	24.21
35300.00	35713.40	23520.45	35300.00	35300.00	35300.00	33.37
88418.79	88418.79	75164.62	88418.79	88418.79	88418.79	14.99
134766.54	188053.14	116971.97	134766.54	134766.54	134766.54	13.2
64781.65	64781.65	54858.39	64781.65	64781.65	64781.65	15.32
108069.07	116999.04	78084.96	108069.07	108069.07	108069.07	27.75
35616.22	44520.27	27421.44	35616.22	35616.22	35616.22	23.01
0	3017136.54	2963945.25	3017136.54	2728604.20	2728604.20	1.763
12500.00	12508.28	9055.71	12500.00	12500.00	12500.00	27.55
169700.88	174952.97	134534.38	169700.88	169700.88	169700.88	20.72
28496.42	31657.45	19525.76	28496.42	28496.42	28496.42	31.48
0	20556.08	9671.84	12283.60	12283.60	12283.60	21.26
213211.84	212983.00	154258.14	213211.84	213211.84	213211.84	27.65
17996.19	20692.47	12536.16	17996.19	17996.19	17996.19	30.34
7300.47	8007.65	5304.28	7300.47	7300.47	7300.47	27.34
17472.06	19329.49	12661.34	17472.06	17472.06	17472.06	27.53
36060.64	40538.18	26116.65	36060.64	36060.64	36060.64	27.58
20000.00	20033.52	14480.46	20000.00	20000.00	20000.00	27.6
16000.00	16429.54	11587.26	16000.00	16000.00	16000.00	27.58
242433.51	254423.56	170010.38	242433.51	242433.51	242433.51	29.87
110328.18	110328.17	88262.54	110328.18	110328.18	110328.18	20
154829.74	154988.21	112531.22	154829.74	154829.74	154829.74	27.32
145780.25	146549.62	104441.05	145780.25	145780.25	145780.25	28.36
142374.52	142374.53	108382.18	142374.52	142374.52	142374.52	23.88
320558.54	331393.93	258038.86	320558.54	320558.54	320558.54	19.5
87846.15	93633.14	62440.21	87846.15	87846.15	87846.15	28.92
46809.11	50429.76	33497.82	46809.11	46809.11	46809.11	28.44
141164.32	146292.01	111284.75	141164.32	141164.32	141164.32	21.17
7832.92	13417.95	5968.40	7832.92	7832.92	7832.92	23.8
300687.19	307834.54	236552.47	300687.19	300687.19	300687.19	21.33
172230.06	173485.01	137739.82	172230.06	172230.06	172230.06	20.03
138258.15	145155.06	108530.84	138258.15	138258.15	138258.15	21.5
155505.63	163112.27	121760.34	155505.63	155505.63	155505.63	21.7
86513.89	91306.97	63586.59	86513.89	86513.89	86513.89	26.5
117855.15	122816.82	80433.45	117855.15	117855.15	117855.15	31.75
42000.00	42891.89	27978.63	42000.00	42000.00	42000.00	33.38
291633.23	301578.22	232271.53	291633.23	291633.23	291633.23	20.35
717677.64	743526.69	605633.12	717677.64	717677.64	717677.64	15.61
171949.30	193287.02	125225.71	171949.30	171949.30	171949.30	27.17
0	177688.93	121784.00	159920.04	124382.25	124382.25	20.92
0	113244.01	59453.11	101919.61	33973.21	33973.21	20.92
0	185000.00	123852.14	185000.00	185000.00	185000.00	33.05
43946.11	43949.92	29880.65	43946.11	43946.11	43946.11	32.01
156082.43	325567.88	120499.93	156082.43	156082.43	156082.43	22.8
208397.88	212209.29	169849.22	208397.88	208397.88	208397.88	18.5
33880.06	33880.06	23385.99	33880.06	33880.06	33880.06	30.97
45962.89	50507.01	31407.82	45962.89	45962.89	45962.89	31.67
62668.02	66199.56	53403.96	62668.02	62668.02	62668.02	14.78
296299.51	296299.51	233330.22	296299.51	296299.51	296299.51	21.25
14703.34	14703.34	9946.28	14703.34	14703.34	14703.34	32.35
68210.57	14364.13	52144.57	68210.57	68210.57	68210.57	23.55
91000.00	94824.86	65949.28	91000.00	91000.00	91000.00	27.53
52326.08	52765.75	36684.37	52326.08	52326.08	52326.08	29.89
119888.26	139888.25	88029.15	119888.26	119888.26	119888.26	26.57
9910.70	13907.10	7522.58	9910.70	9910.70	9910.70	24.1
16339.00	16180.48	10920.65	16339.00	16339.00	16339.00	33.16
112590.97	84073.07	76133.70	112590.97	112590.97	112590.97	32.38
136959.20	143377.74	100968.39	136959.20	136959.20	136959.20	26.28
3320.11	3320.11	2414.70	3320.11	3320.11	3320.11	27.27
89880.14	89880.14	62685.53	89880.14	89880.14	89880.14	30.26
14713.03	14713.03	10641.93	14713.03	14713.03	14713.03	27.67
5000.00	5089.85	3681.49	5000.00	5000.00	5000.00	26.37
80822.69	79944.69	57467.19	80822.69	80822.69	80822.69	28.9
48683.02	48683.02	35318.68	48683.02	48683.02	48683.02	27.45
119643.79	124084.29	86421.31	119643.79	119643.79	119643.79	27.77
53901.70	54227.09	39562.21	53901.70	53901.70	53901.70	26.6
28445.87	28995.87	19921.11	28445.87	28445.87	28445.87	29.97
72780.20	73511.57	52013.29	72780.20	72780.20	72780.20	28.53
28786.51	28327.51	19289.74	28786.51	28786.51	28786.51	32.99
1000.00	1000.00	1627.48	1000.00	1000.00	1000.00	-62.75
0	142000.00	92300.00	127800.00	99400.00	99400.00	22.85
0	1548140.00	1174728.76	1459575.57	1459574.57	1459574.57	18.59
99119.62	129446.90	68002.18	99119.62	99119.62	99119.62	31.39
87997.07	87997.07	64825.23	87997.07	87997.07	87997.07	26.33
50862.48	51749.65	36419.52	50862.48	50862.48	50862.48	28.4
24363.20	42145.65	18395.23	24363.20	24363.20	24363.20	24.5
567147.89	704351.05	396250.30	567147.89	567147.89	567147.89	30.13
436153.48	551428.50	304559.58	436153.48	436153.48	436153.48	30.17
248980.14	292262.30	168943.25	248980.14	248980.14	248980.14	32.15
124300.16	130572.79	94542.98	124300.16	124300.16	124300.16	23.94
0	160194.91	88852.33	144175.43	112136.43	112136.43	20.92
55911.09	60184.02	39387.23	55911.09	55911.09	55911.09	29.55
198216.14	201725.07	138235.12	198216.14	198216.14	198216.14	30.26
46537.96	93340.37	33078.82	46537.96	46537.96	46537.96	28.92
51481.30	50481.30	37566.00	51481.30	51481.30	51481.30	27.03
132451.90	132451.90	97996.12	132451.90	132451.90	132451.90	26.01
23541.20	25690.44	15869.53	23541.20	23541.20	23541.20	32.59
0	50000.00	3687.70	11800.00	11800.00	11800.00	29.41
88450.88	96905.77	71532.52	88450.88	88450.88	88450.88	19.13
189807.79	106106.72	147167.24	189807.79	189807.79	189807.79	22.47
432606.88	484191.17	343552.06	432606.88	432606.88	432606.88	20.59
0	484962.06	339680.71	487330.86	487330.86	487330.86	29.96
0	840822.46	518332.50	756740.20	588575.71	588575.71	22.6
0	393036.80	216037.14	353733.12	275125.76	275125.76	19.6
2986889.05	3000000.00	2340963.96	2986889.05	2986889.05	2986889.05	21.63
0	2000000.00	1651365.74	1612028.26	1612028.26	1612028.26	27.86
111643.02	93621.21	90875.46	111643.02	111643.02	111643.02	18.6
240963.45	249829.54	174351.70	240963.45	240963.45	240963.45	27.64
114001.47	126700.09	82195.77	114001.47	114001.47	114001.47	27.9
402892.45	417118.52	306743.38	402892.45	402892.45	402892.45	23.86
65000.00	65000.00	64114.00	65000.00	65000.00	65000.00	1.36
59685.21	69410.27	46607.89	59685.21	59685.21	59685.21	21.91
244506.76	259508.74	183184.04	244506.76	244506.76	244506.76	25.08
43944.69	43944.70	29442.40	43944.69	43944.69	43944.69	33
137456.56	143070.75	95304.95	137456.56	137456.56	137456.56	30.67
30578.27	30645.75	20917.18	30578.27	30578.27	30578.27	31.59
64000.00	134919.79	47899.55	64000.00	64000.00	64000.00	25.16
132889.40	132890.20	96924.48	132890.20	132890.20	132890.20	27.06
59770.90	63106.43	42271.61	59770.90	59770.90	59770.90	29.28
5916.00	6012.85	4479.31	5916.00	5916.00	5916.00	24.28
848285.83	856654.43	776834.57	848285.83	848285.83	848285.83	20.21
262471.55	834861.45	188227.42	262471.55	262471.55	262471.55	28.29
